27927901	147	11	22	151	168	176	
27928933	217	12	9	178	232	186	
27929965	3	3	4	83	4	7	
27930997	11	149	10	106	9	162	
27932029	8	122	7	58	7	81	
27933061	3	3	4	4	3	31	
27934093	4	4	23	5	26	48	
27935125	10	12	201	11	208	164	
27936157	126	11	33	134	165	172	
27937189	232	14	11	192	246	207	
27938221	3	3	3	84	4	8	
27939253	10	139	10	98	8	148	
27940285	8	133	7	72	8	95	
27941317	3	3	3	3	4	14	
27942349	3	4	10	3	9	43	
27943381	8	12	205	11	205	182	
27944413	110	9	46	114	152	150	
27945445	236	14	12	200	255	217	
27946477	7	3	3	87	11	14	
27947509	9	127	9	81	8	128	
27948541	9	147	9	85	8	115	
27949573	2	3	4	2	3	2	
27950605	4	4	4	3	4	50	
27951637	9	10	197	11	194	191	
27952669	90	10	60	94	149	131	
27953701	236	15	13	200	255	217	
27954733	24	3	4	103	29	33	
27955765	9	113	8	78	7	120	
27956797	9	159	10	96	9	127	
27957829	2	3	3	3	3	3	
27958861	4	2	5	3	4	55	
27959893	9	8	178	10	188	177	
27960925	70	9	71	76	145	120	
27961957	241	16	13	201	254	213	
27962989	46	4	6	111	47	49	
27964021	7	97	8	77	7	105	
27965053	10	176	9	103	8	139	
27966085	3	3	3	3	4	3	
27967117	4	3	5	3	4	56	
27968149	9	9	168	10	170	163	
27969181	56	8	92	56	144	114	
27970213	241	16	13	201	255	212	
27971245	63	5	4	111	69	68	
27972277	7	83	7	80	7	95	
27973309	10	181	10	117	8	139	
27974341	3	11	4	3	4	11	
27975373	4	3	4	4	4	53	
27976405	10	10	150	10	148	146	
27977437	37	8	106	38	138	111	
27978469	240	17	12	201	255	217	
27979501	81	6	5	117	88	90	
27980533	5	71	7	77	6	76	
27981565	10	173	10	129	10	144	
27982597	4	25	4	3	3	23	
27983629	3	3	4	4	4	55	
27984661	8	8	136	8	137	126	
27985693	17	7	120	20	139	108	
27986725	241	15	13	217	255	235	
27987757	95	6	5	120	112	98	
27988789	5	56	4	78	6	63	
27989821	11	167	10	142	11	139	
27990853	4	38	4	5	4	37	
27991885	3	4	4	3	4	57	
27992917	7	7	115	6	111	104	
27993949	6	7	134	7	136	111	
27994981	238	16	15	233	255	247	
27996013	118	7	6	119	127	104	
27997045	4	45	5	72	5	52	
27998077	11	176	11	156	11	143	
27999109	5	50	5	5	4	51	
28000141	4	3	4	3	4	54	
28001173	6	7	107	7	109	100	
28002205	7	7	148	9	152	128	
28003237	220	15	15	231	239	244	
28004269	137	9	7	119	144	104	
28005301	3	30	5	65	5	37	
28006333	11	176	13	164	11	146	
28007365	5	64	5	6	5	64	
28008397	3	3	5	3	4	52	
28009429	6	7	93	7	92	78	
28010461	8	9	160	9	161	146	
28011493	206	14	12	215	222	230	
28012525	154	9	7	115	165	122	
28013557	3	18	5	78	4	25	
28014589	11	177	11	155	10	165	
28015621	6	78	6	19	6	67	
28016653	3	3	4	4	4	49	
28017685	6	6	77	6	76	63	
28018717	8	10	179	9	181	158	
28019749	189	13	11	192	206	210	
28020781	167	11	7	132	189	136	
28021813	2	5	3	80	4	10	
28022845	11	179	12	138	12	170	
28023877	7	89	7	30	5	68	
28024909	3	3	4	3	3	46	
28025941	4	5	58	5	58	58	
28026973	9	10	193	10	195	176	
28028005	166	12	11	172	182	186	
28029037	193	12	11	148	209	162	
28030069	2	4	3	81	4	8	
28031101	10	168	10	124	10	178	
28032133	6	101	7	45	6	64	
28033165	4	3	4	3	4	45	
28034197	4	4	43	4	42	50	
28035229	9	10	195	11	196	170	
28036261	149	11	18	159	173	173	
28037293	212	12	10	173	229	185	
28038325	3	3	3	82	4	7	
28039357	9	156	11	109	8	168	
28040389	6	121	8	56	7	79	
28041421	2	2	4	3	4	31	
28042453	5	4	29	4	26	47	
28043485	8	10	204	10	203	162	
28044517	129	10	34	137	166	173	
28045549	227	14	11	192	249	201	
28046581	3	2	4	81	4	7	
28047613	10	143	9	98	8	153	
28048645	9	131	8	71	7	94	
28049677	3	2	4	3	3	16	
28050709	3	4	12	3	13	44	
28051741	9	11	200	11	200	178	
28052773	112	10	40	120	154	152	
28053805	237	15	12	197	255	211	
28054837	3	3	3	84	5	8	
28055869	8	127	9	84	9	135	
28056901	8	145	9	81	7	107	
28057933	3	2	3	3	4	5	
28058965	3	3	4	3	4	49	
28059997	10	10	205	12	202	191	
28061029	96	9	53	98	153	135	
28062061	234	15	11	200	254	213	
28063093	20	5	3	98	25	28	
28064125	6	114	8	79	8	120	
28065157	9	160	10	92	9	123	
28066189	3	3	4	3	3	3	
28067221	4	3	5	3	2	55	
28068253	8	12	187	9	188	182	
28069285	75	8	71	82	146	119	
28070317	235	14	14	202	255	216	
28071349	39	4	5	104	45	43	
28072381	6	99	7	81	8	110	
28073413	8	175	9	101	9	136	
28074445	3	2	4	3	3	3	
28075477	3	3	5	3	3	54	
28076509	8	10	167	11	173	165	
28077541	55	9	87	62	146	113	
28078573	236	15	13	202	255	218	
28079605	56	5	5	111	64	67	
28080637	5	88	7	81	7	96	
28081669	11	173	11	117	9	144	
28082701	3	8	3	3	3	9	
28083733	4	3	5	3	4	58	
28084765	8	10	153	8	153	152	
28085797	40	7	103	43	142	110	
28086829	236	15	13	197	255	217	
