186186528	5	135	6	76	111	6	83	
186187560	4	4	5	5	52	5	25	
186188592	3	4	24	4	22	22	46	
186189624	5	6	221	8	186	218	155	
186190656	130	5	32	146	35	171	158	
186191688	252	7	7	222	10	255	205	
186192720	4	4	5	95	5	3	8	
186193752	5	149	8	106	151	7	144	
186194784	6	151	9	91	124	6	97	
186195816	5	4	5	4	51	4	13	
186196848	4	4	7	3	8	7	45	
186197880	5	7	215	7	209	219	176	
186198912	110	4	46	124	34	165	140	
186199944	254	8	9	226	10	255	197	
186200976	12	4	5	110	5	13	16	
186202008	5	137	7	93	136	6	124	
186203040	6	168	8	108	136	7	108	
186204072	5	4	5	4	50	5	5	
186205104	5	5	5	4	6	5	54	
186206136	5	7	214	8	217	214	185	
186207168	89	5	63	107	33	162	124	
186208200	250	7	8	226	10	255	195	
186209232	30	4	5	121	5	31	34	
186210264	5	124	7	91	126	6	112	
186211296	5	179	8	109	146	8	123	
186212328	5	4	5	5	52	5	5	
186213360	4	4	6	4	5	4	54	
186214392	4	6	192	8	196	195	167	
186215424	72	5	83	85	40	160	112	
186216456	255	7	9	225	11	255	208	
186221616	5	4	6	4	5	5	56	
186222648	4	6	179	8	175	176	153	
186224712	254	7	8	221	11	255	199	
186226776	5	95	7	88	92	6	92	
186227808	5	195	9	145	161	6	134	
186228840	5	16	6	5	64	4	16	
186229872	5	5	5	4	5	5	56	
186230904	5	6	159	7	162	154	136	
186231936	31	5	116	38	78	150	104	
186232968	252	7	8	232	9	255	208	
186234000	89	4	6	143	6	91	88	
186235032	4	79	6	91	81	5	75	
186237096	4	30	5	8	79	6	27	
186238128	4	5	5	3	5	5	55	
186240192	13	4	136	17	99	147	100	
186241224	245	7	8	242	10	255	222	
186242256	111	5	7	132	6	118	95	
186243288	4	60	6	89	63	6	64	
186244320	6	191	9	165	163	7	138	
186245352	4	44	6	9	92	5	40	
186246384	5	5	5	4	6	4	56	
186247416	4	5	119	6	123	124	102	
186249480	254	7	10	255	11	255	240	
186251544	4	46	6	75	48	5	48	
186252576	6	192	9	187	160	6	137	
186254640	4	4	5	4	6	5	50	
186255672	4	6	115	6	115	115	90	
186256704	4	6	166	7	123	160	116	
186257736	239	7	8	255	10	254	233	
186258768	149	6	6	129	8	160	96	
186259800	4	32	6	78	36	4	33	
186260832	6	192	8	186	168	8	142	
186261864	4	74	6	12	98	5	68	
186262896	5	5	6	4	21	5	51	
186263928	5	5	96	6	102	95	72	
186264960	4	6	177	7	136	174	143	
186265992	216	7	9	234	9	231	213	
186267024	169	5	6	132	7	181	119	
186268056	5	17	6	94	19	4	20	
186269088	5	194	10	170	173	7	155	
186270120	5	91	6	27	82	6	64	
186271152	3	5	6	4	43	5	44	
186272184	4	4	82	5	78	79	61	
186273216	4	6	195	7	159	194	154	
186274248	198	6	7	219	9	211	196	
186275280	191	6	7	155	9	206	138	
186276312	4	5	6	101	5	4	8	
186277344	5	193	9	153	181	8	171	
186278376	5	102	6	41	87	6	66	
186279408	4	4	5	5	52	5	45	
186280440	4	5	62	5	65	62	52	
186281472	5	6	205	8	172	211	166	
186282504	168	5	8	199	9	192	173	
186283536	213	7	7	176	8	227	161	
186284568	3	4	6	100	6	4	8	
186285600	6	185	8	144	180	8	176	
186286632	5	118	6	57	94	5	66	
186287664	5	5	5	5	52	5	42	
186288696	4	4	45	6	46	44	46	
186289728	4	6	211	7	173	208	158	
186290760	157	6	18	176	19	183	166	
186291792	231	7	8	193	8	241	176	
186292824	4	4	6	103	5	4	9	
186293856	5	173	9	125	171	7	156	
186294888	5	133	7	69	105	5	81	
186295920	5	4	5	5	50	4	31	
186296952	5	5	28	4	27	27	46	
186297984	5	6	217	7	184	213	156	
186299016	139	5	31	153	34	176	163	
186300048	246	7	8	217	10	255	197	
186301080	4	5	6	100	6	4	8	
186302112	5	151	7	109	153	7	142	
186303144	5	148	7	89	118	7	93	
186304176	5	4	5	4	51	5	17	
186305208	5	4	11	4	12	11	43	
186306240	4	6	221	9	195	215	173	
186307272	117	5	44	133	34	166	146	
186308304	252	7	7	225	10	255	203	
186309336	8	4	5	104	5	8	12	
186310368	5	140	7	96	137	6	131	
186311400	5	161	7	101	137	7	106	
186312432	4	5	5	5	53	4	5	
186313464	5	5	5	3	6	5	51	
186314496	4	7	212	8	211	209	182	
186315528	98	5	60	110	34	159	128	
186316560	255	6	8	220	10	255	207	
186317592	26	4	6	122	5	30	32	
186318624	5	125	7	90	129	6	117	
186319656	6	179	7	110	145	6	122	
186320688	3	4	5	4	52	3	4	
186321720	4	4	6	4	5	4	55	
186322752	5	6	197	8	196	198	172	
186323784	77	5	75	90	38	156	111	
186324816	255	7	8	225	10	255	208	
186325848	46	4	5	123	6	49	45	
186326880	4	111	7	94	114	6	102	
186327912	5	193	8	125	160	7	134	
186328944	4	4	5	5	49	5	5	
186329976	3	3	6	4	5	4	56	
186331008	4	6	177	8	180	179	154	
186332040	54	5	93	65	56	150	105	
186333072	254	7	8	228	10	255	201	
186334104	65	4	6	133	6	69	65	
186335136	5	98	6	92	95	5	91	
186336168	6	192	8	140	158	6	136	
186337200	4	13	6	5	63	4	12	
186338232	4	5	5	4	5	5	58	
186339264	5	5	158	7	167	163	136	
186340296	38	6	112	41	74	149	106	
